reference,author,title,city,editorial,year,catalog
"AA.AA., Alcántara, nº 94. Cáceres, Diputación, noviembre 2022.",AA.AA.,Alcántara,Cáceres,Diputación,2022,2022-2023
"Moreno Bermejo, José María, La fiesta taurina en Trujillo: historia, arte y tradición. Cáceres, Tau Editores, 2022.      -Moreno González, José María (dir.), Cuadernos de Çafra, nº XVIII. Zafra, Centro Estudios Estado de Feria, 2022.",José María Moreno Bermejo,"La fiesta taurina en Trujillo: historia, arte y tradición",Cáceres,Tau Editores,2022,2022-2023
"Murillo Mateos, Juan, Amores y sueños. Cáceres, Cuatro Hojas, 2022.",Juan Murillo Mateos,Amores y sueños,Cáceres,Cuatro Hojas,2022,2022-2023
"Murillo Mateos, Juan, Desencuentros. Cáceres, Cuatro Hojas, 2023.",Juan Murillo Mateos,Desencuentros,Cáceres,Cuatro Hojas,2023,2022-2023
"Muro, Matilde, Visitas a Pascualete. Badajoz, Fundación, 2022.",Matilde Muro,Visitas a Pascualete,Badajoz,Fundación,2022,2022-2023
"Naranjo, Miguel Ángel (coord.). Apuntes para la historia de la ciudad de Badajoz. Tomo XVI. Badajoz, R. Sociedad Económica Amigos del País, 2022.",Miguel Ángel Naranjo,Apuntes para la historia de la ciudad de Badajoz,Badajoz,R. Sociedad Económica Amigos del País,2022,2022-2023
"Narganés, David, A propósito de Cora. Mérida, De la luna libros, 2022. Narrativa.",David Narganés,A propósito de Cora,Mérida,De la luna libros,2022,2022-2023
"Navalón, Alberto, El muladar de los muertos. Cáceres, Norbanova, 2023.  Relato sobre hechicería, exorcismos, superstición y demás en el Cáceres del S. XVII.",Alberto Navalón,El muladar de los muertos,Cáceres,Norbanova,2023,2022-2023
"Navalón, Alberto, Árrago.  Boadilla del Monte, Bassus Ediciones. 2022. Novela.",Alberto Navalón,Árrago,Boadilla del Monte,Bassus Ediciones,2022,2022-2023
"Nebrija, Antonio de, Introductiones latinae. Badajoz, Diputación, 2022.  Bibliofilia",Antonio de Nebrija,Introductiones latinae,Badajoz,Diputación,2022,2022-2023
"Neila, Manuel, La memoria y la herida. Vida y obra de Jorge Eliécer Pardo. Tolima (Colombia), Pijaoeditores, 2022. Ensayo.",Manuel Neila,La memoria y la herida. Vida y obra de Jorge Eliécer Pardo,Tolima (Colombia),Pijaoeditores,2022,2022-2023
