category,author,title,description,reference,catalog,city,year,editorial,parsed
antropologia,AA.VV.,"Hurdes, libro de viaje","dim Este volumen se compuso con motivo de la visita girada por los Reyesde España (abril 1998) a Las Hurdes, hecho que hizo recordar a todos elviaje de Alfonso XIII (1922) a aquella comarca. Los colaboradores de estelibro, cargos oficiales, periodistas, antropólogos o profesionales hurdanos,coinciden en señalar las profundas y muy positivas transformacionesexperimentadas, que han homologado con el resto de Extremadura laotrora infeliz ""tierra sin tierras"". Los más críticos no ocultan, sin embargo,los problemas que aún perviven, idénticos por lo demás a los que tambiénse sufren en la mayoría de las poblaciones extremeñas. El libro, hermosa-mente diseñado, compuesto con tipos de imprenta que imitan la letramanuscrita, se adorna con bellas ilustraciones. Lástima que a éstas lesfalten los correspondientes pies con que identificarlas.","AA. VV.
Hurdes, libro de viaje
Mérida, Junta de Extremadura, 1998.
dim Este volumen se compuso con motivo de la visita girada por los Reyesde España (abril 1998) a Las Hurdes, hecho que hizo recordar a todos elviaje de Alfonso XIII (1922) a aquella comarca. Los colaboradores de estelibro, cargos oficiales, periodistas, antropólogos o profesionales hurdanos,coinciden en señalar las profundas y muy positivas transformacionesexperimentadas, que han homologado con el resto de Extremadura laotrora infeliz ""tierra sin tierras"". Los más críticos no ocultan, sin embargo,los problemas que aún perviven, idénticos por lo demás a los que tambiénse sufren en la mayoría de las poblaciones extremeñas. El libro, hermosa-mente diseñado, compuesto con tipos de imprenta que imitan la letramanuscrita, se adorna con bellas ilustraciones. Lástima que a éstas lesfalten los correspondientes pies con que identificarlas.
",2014-2015,Mérida,1998, Junta de Extremadura,True
ANTROPOLOGIA,AA.VV.,El Quejío,"Edición especial (XV Aniversario) del boletín que viene publicando laPeña Cultural Flamenca ""José Pérez de Guzmán"", de Jerez de los Caballe-ros. Los aficionados disfrutarán intensamente con artículos como el deJosé Márquez F. sobre la sevillana Feria de Abril; la entrevista con ElLebrijano o las evocaciones de Pastora Pavón, ""Niña de los Peines"", a losque acompañan numerosos artículos centrados en ese riquísimo mundodel flamenco.1997-1999","AA. VV.
El Quejío
N.° 7. Primer Semestre de 1997.
Edición especial (XV Aniversario) del boletín que viene publicando laPeña Cultural Flamenca ""José Pérez de Guzmán"", de Jerez de los Caballe-ros. Los aficionados disfrutarán intensamente con artículos como el deJosé Márquez F. sobre la sevillana Feria de Abril; la entrevista con ElLebrijano o las evocaciones de Pastora Pavón, ""Niña de los Peines"", a losque acompañan numerosos artículos centrados en ese riquísimo mundodel flamenco.1997-1999
",2014-2015,,1997,,True
ANTROPOLOGIA,AA.VV.,Monesterio. Feria y Fiestas 1997,"Monesterio, Ayuntamiento, 1997. bemaux absolabiald1997.bmauxEl sumario de colaboraciones justifica la atención que habitualmentereclamamos sobre este tipo de prensa, cada vez más proclive al estudio delas poblaciones donde aparece. Destacamos los artículos de ManuelDelgado (""Monesterio: algunos topónimos""), Luciano Fernández, líder deNueva Izquierda (""Historia del movimiento obrero en Monesterio a prin-cipios de siglo: El círculo obrero""), Maurizio Catani (""Monesterio, unvigilante de arbitrios por los años cuarenta de nuestro siglo""), RufinoParra (""Monesterio: ayer y hoy"") y Eduardo Naranjo (""Monesterio: elinsólito paraíso recordado"").obaldoq asl ob shoyam si no milessup","AA. VV.
Monesterio. Feria y Fiestas 1997
NV.AK
Monesterio, Ayuntamiento, 1997. bemaux absolabiald1997.bmauxEl sumario de colaboraciones justifica la atención que habitualmentereclamamos sobre este tipo de prensa, cada vez más proclive al estudio delas poblaciones donde aparece. Destacamos los artículos de ManuelDelgado (""Monesterio: algunos topónimos""), Luciano Fernández, líder deNueva Izquierda (""Historia del movimiento obrero en Monesterio a prin-cipios de siglo: El círculo obrero""), Maurizio Catani (""Monesterio, unvigilante de arbitrios por los años cuarenta de nuestro siglo""), RufinoParra (""Monesterio: ayer y hoy"") y Eduardo Naranjo (""Monesterio: elinsólito paraíso recordado"").obaldoq asl ob shoyam si no milessup
",2014-2015,,0,,True
ANTROPOLOGIA,AA.VV.,asiqmi əb auqir noɔ mobib som,"ashi sup no signsbollstCristo 97. Fiestas patronales de Fuente del MaestreFuente del Maestre, Badajoz, Ayuntamiento, 1997.VV.AAHe aquí un modelo de lo que no debe ser una publicación: malimpresa, peor encuadernada, sin paginar y, lo que resulta más grave, concasi todos los artículos caóticamente maquetados, hasta el punto de hacercasi imposible su lectura. Una lástima, porque esta voluminosa revistaincluye colaboraciones realmente valiosas. La reproducción de viejas foto-grafías de un pueblo tan singular, los poemas de José Antonio Zambrano,las investigaciones históricas de Antonio Arévalo... merecerían mejortratamiento tipográfico.sqmont supormal lab","AA. VV.
asiqmi əb auqir noɔ mobib som
sminoimauli zellad noo smobs sausi
ashi sup no signsbollstCristo 97. Fiestas patronales de Fuente del MaestreFuente del Maestre, Badajoz, Ayuntamiento, 1997.VV.AAHe aquí un modelo de lo que no debe ser una publicación: malimpresa, peor encuadernada, sin paginar y, lo que resulta más grave, concasi todos los artículos caóticamente maquetados, hasta el punto de hacercasi imposible su lectura. Una lástima, porque esta voluminosa revistaincluye colaboraciones realmente valiosas. La reproducción de viejas foto-grafías de un pueblo tan singular, los poemas de José Antonio Zambrano,las investigaciones históricas de Antonio Arévalo... merecerían mejortratamiento tipográfico.sqmont supormal lab
",2014-2015,sminoimauli zellad noo smobs sausi,0,,True
ANTROPOLOGIA,AA.VV.,La Jayona,"Editada por el Ayuntamiento de Fuente del Arco, con humilde dise-ño, entre sus artículos deseamos destacar el del historiador AntonioVillalba Ramos, que lo dedica a la memoria de Antonio Rubio Barragán,hijo del pueblo y fallecido en el campo de concentración de Gusen,dependiente de Mauthausen.","AA. VV.
La Jayona
Año III, enero 1997.
Editada por el Ayuntamiento de Fuente del Arco, con humilde dise-ño, entre sus artículos deseamos destacar el del historiador AntonioVillalba Ramos, que lo dedica a la memoria de Antonio Rubio Barragán,hijo del pueblo y fallecido en el campo de concentración de Gusen,dependiente de Mauthausen.
",2014-2015,,1997,,True
ANTROPOLOGIA,AA.VV.,Badajoz,"Madrid, Editorial Mediterráneo, 1996.Salvo un conjunto de bellas fotografías en color, poco aporta este carolibro (nueve mil pts.), que una editorial madrileña ha preparado con eldinero de la Diputación de Badajoz y la obra social de Caja de Extrema-dura. Homólogo al que también se ha hecho sobre Cáceres, en similarescondiciones, se constituye en llamativo volumen para regalo o donaciónprotocolaria. Los autores, un numeroso grupo coordinado por JaimeNaranjo -expertos unos en las materias tratadas, buenas plumas losdemás, que recogen con donaire los datos ya expuestos por otros especia-listas-construyen un texto digno, pero cuya oportunidad resulta perfecta-mente discutible.","AA. VV.
Badajoz
long see
Madrid, Editorial Mediterráneo, 1996.Salvo un conjunto de bellas fotografías en color, poco aporta este carolibro (nueve mil pts.), que una editorial madrileña ha preparado con eldinero de la Diputación de Badajoz y la obra social de Caja de Extrema-dura. Homólogo al que también se ha hecho sobre Cáceres, en similarescondiciones, se constituye en llamativo volumen para regalo o donaciónprotocolaria. Los autores, un numeroso grupo coordinado por JaimeNaranjo -expertos unos en las materias tratadas, buenas plumas losdemás, que recogen con donaire los datos ya expuestos por otros especia-listas-construyen un texto digno, pero cuya oportunidad resulta perfecta-mente discutible.
",2014-2015,long see,0,,True
ANTROPOLOGIA,AA.VV.,Semana Santa de Badajoz 1977,"Isidoro Moreno, antropólogo andaluz de reconocido prestigio, distin-1997-1999)bibliografia e remeñague en los ritos procesionales de la Semana Santa la conjunción de tresatractivas variables: la representación escénica de unos acontecimientoshistóricos centrados en Jesús y su madre; el drama, simbolizado en estosdos personajes, de un pueblo inocente, históricamente perseguido por lospoderoso, y los festejos sensuales propios de las festividades precristianasde la Primavera. Los artículos e ilustraciones de esta bien cuidada publica-ción permiten aproximarse a algunas de las manifestaciones de la SemanaSanta pacense.novinaleno olsanabeAcero Calderón, Eduardo derero), Maarnio Catani (""Monerario,siglo RufinMonIN NAranjoBodas de antañoVillanueva de la Serena, autoedición, 1997. Prólogo de SantiagoCastelo.ibaM Isinoiba,bizbeMdeerEstudio antropológico, basado en las investigaciones de campo reali-zadas por el autor entre 1986 y 1990. Profesor de enseñanza secundaria ylicenciado en Bellas Artes, E. Acero obtuvo ya el ""García Matos"" 1990con un estudio sobre la indumentaria tradicional de Villanueva de laSerena y su comarca (que permanece inédito). Tres elementos configuranesta obra: un conjunto de fotografías, preparadas intencionadamenteunas, de tiempos antiguos otras; las letras (en ocasiones, pocas, también lamúsica) de bellísimas canciones populares en torno al rito de la boda y eltexto del antropólogo. Resulta así posible hacerse una buena idea de loque supuso todo el complicado mecanismo conducente a establecer unapareja estable, según la religión católica, en aquella población. Desde elinicio de las declaraciones entre los jóvenes hasta el banquete nupcial,pasando por la petición de mano, el noviazgo, la muestra del ajuar, lasamonestaciones, la ceremonia litúrgica...., un complejo mecanismo socialse ponía en marcha, según antiquísimas fórmulas de indudable funciónsocial.bebnemsHsojahslbio sb sulobne ogologoune commoM osobialAlcalá Caldera, Javier; Barcia Mendo,","AA. VV.
Semana Santa de Badajoz 1977
Badajoz, Hermandad Nuestra Señora de La Soledad, 1977.
Isidoro Moreno, antropólogo andaluz de reconocido prestigio, distin-1997-1999)bibliografia e remeñague en los ritos procesionales de la Semana Santa la conjunción de tresatractivas variables: la representación escénica de unos acontecimientoshistóricos centrados en Jesús y su madre; el drama, simbolizado en estosdos personajes, de un pueblo inocente, históricamente perseguido por lospoderoso, y los festejos sensuales propios de las festividades precristianasde la Primavera. Los artículos e ilustraciones de esta bien cuidada publica-ción permiten aproximarse a algunas de las manifestaciones de la SemanaSanta pacense.novinaleno olsanabeAcero Calderón, Eduardo derero), Maarnio Catani (""Monerario,siglo RufinMonIN NAranjoBodas de antañoVillanueva de la Serena, autoedición, 1997. Prólogo de SantiagoCastelo.ibaM Isinoiba,bizbeMdeerEstudio antropológico, basado en las investigaciones de campo reali-zadas por el autor entre 1986 y 1990. Profesor de enseñanza secundaria ylicenciado en Bellas Artes, E. Acero obtuvo ya el ""García Matos"" 1990con un estudio sobre la indumentaria tradicional de Villanueva de laSerena y su comarca (que permanece inédito). Tres elementos configuranesta obra: un conjunto de fotografías, preparadas intencionadamenteunas, de tiempos antiguos otras; las letras (en ocasiones, pocas, también lamúsica) de bellísimas canciones populares en torno al rito de la boda y eltexto del antropólogo. Resulta así posible hacerse una buena idea de loque supuso todo el complicado mecanismo conducente a establecer unapareja estable, según la religión católica, en aquella población. Desde elinicio de las declaraciones entre los jóvenes hasta el banquete nupcial,pasando por la petición de mano, el noviazgo, la muestra del ajuar, lasamonestaciones, la ceremonia litúrgica...., un complejo mecanismo socialse ponía en marcha, según antiquísimas fórmulas de indudable funciónsocial.bebnemsHsojahslbio sb sulobne ogologoune commoM osobialAlcalá Caldera, Javier; Barcia Mendo,
",2014-2015,Badajoz,1977, Hermandad Nuestra Señora de La Soledad,True
ANTROPOLOGIA,José. Enrique y Rasero Machacón,"La leyenda de San Jorge en Cáceres. Tradición, historia, mitologia","Según resulta bien conocido, San Jorge es el patrono de Cáceres desdelos tiempos de la reconquista, cuando Alfonso IX tomó la ciudad a losárabes. Dos son las obras publicadas recientemente sobre dicho santo, queposee una compleja hagiografía. La primera es el catálogo San Jorge enCáceres. Reproduce este volumen las obras de un conjunto de artistascolgadas en una muestra que dirigió Enrique Barcia, incluyéndosetambién los textos escritos por numerosos autores para exponer cómo haninteriorizado la figura del singular paladín. La segunda, de la que aquí setrata, es un excelente estudio, suscrito por tres profesores de nuestraUniversidad, el ya mencionado E. Barcia, José Rasero y Javier Alcalá. Atenor de lo que conocemos por otro libro de reciente publicación, Cuen-tos y leyendas de España y Portugal, el último venía ocupándose hace yatiempo del tema.Se estructura en cuatro partes bien diferenciadas. El capítulo inicial seocupa de las tradiciones populares, casi todas recientes, que los cacereñoshan venido celebrando, con mayor o menor intensidad, en la fiesta deSan Jorge: las hogueras, la batalla de las brevas, la cabalgata, la quema deldragón, la búsqueda de la gallina de oro, las procesiones laica y religiosa,actividades deportivas, etc. Se buscan las posibles conexiones de las mássignificativas con acontecimientos de la historia local. El más importantepara el asunto en cuestión, la conquista llevada a cabo por las tropascastellano-leonesas, quehabrían entrado en la ciudad justamente el día deSan Jorge y no sin la complicidad de una princesa árabe, es objeto delcapítulo segundo, así como el análisis de los elementos iconográficos(pocos) dedicados a San Jorge en Cáceres y alrededores. Se establecedespués la historia de este curioso santo, en la que se cruzan numerosasleyendas, dada la escasez de documentos no apócrifos sobre el mismo.Miembro de una familia adinerada, militar valeroso, habría sufridoperse-1997-1999cución bajo Diocleciano en torno al año 302 (pero no se han descubiertolas actas auténticas del martirio). Se ofrecen las numerosas leyendas sobrelos tormentos infligidos al que pronto llegaría a ser el mártir por antono-masia, ídolo de los caballeros cruzados, patrono de las primeras Órdenesde caballería y venerado en Europa entera.Pero seguramente el más importante es el capítulo cuarto y último.En un rastreo por numerosas culturas (griegos, arios, hititas, aztecas,chinos) trata de establecer los referentes mitológicos que perviven en lapersonalidad y hazañas de San Jorge, sobre todo cuando nace la leyendadorada, cuya primera versión escrita, en latín, es justamente del siglo XIIIy que los autores de la obra han tenido el acierto de reproducir. Narra lalucha del joven tribuno contra un insaciable dragón que asolaba la ciudadde Silca (Libia), exigiendo terribles ofrendas, entre ellas la propia jovenhija del rey. El santo lo vence, salva a la doncella y consigue que todos loshabitantes se conviertan al cristianismo. Marciano Curiel (en Cuentosextremeños) y Publio Hurtado (en Supersticiones extremeñas) recogerían lasrepercusiones que en nuestra literatura popular produjo aquel maravillosorelato.El libro -un esfuerzo muy encomiable- se adorna con preciosas ilustra-ciones.","Enrique y Rasero Machacón, José.
La leyenda de San Jorge en Cáceres. Tradición, historia, mitologia
Cáceres, Ayuntamiento, 1998.
Según resulta bien conocido, San Jorge es el patrono de Cáceres desdelos tiempos de la reconquista, cuando Alfonso IX tomó la ciudad a losárabes. Dos son las obras publicadas recientemente sobre dicho santo, queposee una compleja hagiografía. La primera es el catálogo San Jorge enCáceres. Reproduce este volumen las obras de un conjunto de artistascolgadas en una muestra que dirigió Enrique Barcia, incluyéndosetambién los textos escritos por numerosos autores para exponer cómo haninteriorizado la figura del singular paladín. La segunda, de la que aquí setrata, es un excelente estudio, suscrito por tres profesores de nuestraUniversidad, el ya mencionado E. Barcia, José Rasero y Javier Alcalá. Atenor de lo que conocemos por otro libro de reciente publicación, Cuen-tos y leyendas de España y Portugal, el último venía ocupándose hace yatiempo del tema.Se estructura en cuatro partes bien diferenciadas. El capítulo inicial seocupa de las tradiciones populares, casi todas recientes, que los cacereñoshan venido celebrando, con mayor o menor intensidad, en la fiesta deSan Jorge: las hogueras, la batalla de las brevas, la cabalgata, la quema deldragón, la búsqueda de la gallina de oro, las procesiones laica y religiosa,actividades deportivas, etc. Se buscan las posibles conexiones de las mássignificativas con acontecimientos de la historia local. El más importantepara el asunto en cuestión, la conquista llevada a cabo por las tropascastellano-leonesas, quehabrían entrado en la ciudad justamente el día deSan Jorge y no sin la complicidad de una princesa árabe, es objeto delcapítulo segundo, así como el análisis de los elementos iconográficos(pocos) dedicados a San Jorge en Cáceres y alrededores. Se establecedespués la historia de este curioso santo, en la que se cruzan numerosasleyendas, dada la escasez de documentos no apócrifos sobre el mismo.Miembro de una familia adinerada, militar valeroso, habría sufridoperse-1997-1999cución bajo Diocleciano en torno al año 302 (pero no se han descubiertolas actas auténticas del martirio). Se ofrecen las numerosas leyendas sobrelos tormentos infligidos al que pronto llegaría a ser el mártir por antono-masia, ídolo de los caballeros cruzados, patrono de las primeras Órdenesde caballería y venerado en Europa entera.Pero seguramente el más importante es el capítulo cuarto y último.En un rastreo por numerosas culturas (griegos, arios, hititas, aztecas,chinos) trata de establecer los referentes mitológicos que perviven en lapersonalidad y hazañas de San Jorge, sobre todo cuando nace la leyendadorada, cuya primera versión escrita, en latín, es justamente del siglo XIIIy que los autores de la obra han tenido el acierto de reproducir. Narra lalucha del joven tribuno contra un insaciable dragón que asolaba la ciudadde Silca (Libia), exigiendo terribles ofrendas, entre ellas la propia jovenhija del rey. El santo lo vence, salva a la doncella y consigue que todos loshabitantes se conviertan al cristianismo. Marciano Curiel (en Cuentosextremeños) y Publio Hurtado (en Supersticiones extremeñas) recogerían lasrepercusiones que en nuestra literatura popular produjo aquel maravillosorelato.El libro -un esfuerzo muy encomiable- se adorna con preciosas ilustra-ciones.
",2014-2015,Cáceres,1998, Ayuntamiento,True
ANTROPOLOGIA,Antonio Andrino,La caza en el mundo. Una visión de la caza a través de un cazador,"Badajoz, Ayuntamiento, 1997.Catálogo de la colección venatoria Domingo Cadena, cazador deAlmendralejo. Emociones encontradas surgen repasando las páginas deel asombro queeste libro, espléndidamente impreso. Por una parte,provoca la belleza de tantos animales, muchos de ellos en peligro deextinción, como aparecen aquí fotografiados... ya cadáveres. Por otra, larepugnancia que a los no cazadores nos produce la visión de tan asombro-sas piezas, abatidas por el rifle telescópico cuando gozaban de la existenciasalvaje en picachos, selvas, marismas, antes inaccesibles sin las avionetas,helicópteros o ""todoterrenos"" actuales.","Andrino, Antonio (coord.)
La caza en el mundo. Una visión de la caza a través de un cazador
extremeño
Badajoz, Ayuntamiento, 1997.Catálogo de la colección venatoria Domingo Cadena, cazador deAlmendralejo. Emociones encontradas surgen repasando las páginas deel asombro queeste libro, espléndidamente impreso. Por una parte,provoca la belleza de tantos animales, muchos de ellos en peligro deextinción, como aparecen aquí fotografiados... ya cadáveres. Por otra, larepugnancia que a los no cazadores nos produce la visión de tan asombro-sas piezas, abatidas por el rifle telescópico cuando gozaban de la existenciasalvaje en picachos, selvas, marismas, antes inaccesibles sin las avionetas,helicópteros o ""todoterrenos"" actuales.
",2014-2015,,0,,True
ANTROPOLOGIA,Pedro Aparicio,Casa regional Extremadura en Getafe. Boletín informativo n.º 31,"queSin ser ninguna cosa extraordinaria, es una publicación muy correcta,viene alternando los artículos sobre Extremadura con otros en tornoa Getafe. Se interesa por la historia, la antropología, el arte, los aspectossociopolíticos y las rutas turísticas de nuestra Comunidad.Calvo","Aparicio, Pedro (coord.)
Casa regional Extremadura en Getafe. Boletín informativo n.º 31
Noviembre-Diciembre 1996
queSin ser ninguna cosa extraordinaria, es una publicación muy correcta,viene alternando los artículos sobre Extremadura con otros en tornoa Getafe. Se interesa por la historia, la antropología, el arte, los aspectossociopolíticos y las rutas turísticas de nuestra Comunidad.Calvo
",2014-2015,,1996,,True
